City/Town,Ward,Pct,"Clinton/ Kaine","Trump/ Pence","Johnson/ Weld","Stein/ Baraka","Mcmullin/ Johnson","Kotlikoff/ Leamer","Feegbeh/ O'Brien","Moorehead/ Lilly","Schoenke/ Mitchel","All Others","No Preference","Blank Votes","Total Votes Cast"
"Fall River",3,A,674,458,28,11,0,0,0,0,0,6,0,27,"1,204"
"Fall River",3,B,663,410,31,24,0,0,0,0,0,16,0,24,"1,168"
"Fall River",3,C,641,456,38,21,0,0,0,0,0,13,0,27,"1,196"
"Fall River",4,A,551,267,28,14,0,0,0,0,0,0,0,26,886
"Fall River",4,B,561,215,25,18,0,0,0,0,0,4,0,26,849
"Fall River",4,C,679,229,19,13,0,0,0,0,0,3,0,45,988
"Fall River",5,A,438,180,14,14,0,0,0,0,0,9,0,11,666
"Fall River",5,B,385,138,17,8,0,0,0,0,0,5,0,13,566
"Fall River",5,B1,65,38,5,5,0,0,0,0,0,1,0,2,116
"Fall River",5,C,541,244,22,14,0,0,0,0,0,7,0,21,849
"Fall River",6,A,714,517,55,18,0,0,0,0,0,23,0,31,"1,358"
"Fall River",6,B,579,312,28,11,0,0,0,0,0,10,0,25,965
"Fall River",6,C,625,439,39,21,0,0,0,0,0,17,0,24,"1,165"
"Fall River",6,C1,15,4,0,0,0,0,0,0,0,0,0,0,19
"Fall River",7,A,689,443,34,13,2,0,0,0,0,0,0,36,"1,217"
"Fall River",7,B,535,316,34,25,0,0,0,0,0,7,0,9,926
"Fall River",7,C,663,324,48,24,0,0,0,0,0,0,0,40,"1,099"
"Fall River",8,A,600,338,37,22,2,0,0,0,0,0,0,34,"1,033"
"Fall River",8,B,881,563,55,25,0,0,0,0,0,23,0,22,"1,569"
"Fall River",8,C,902,661,44,24,0,0,0,0,0,0,0,66,"1,697"
"Fall River",9,A,986,794,38,29,1,0,0,0,0,0,0,78,"1,926"
"Fall River",9,B,676,503,37,20,0,0,0,0,0,1,0,37,"1,274"
"Fall River",9,C,797,481,52,27,0,0,0,0,0,11,0,90,"1,458"
Falmouth,-,1,"1,793",513,80,30,0,0,0,0,0,33,0,33,"2,482"
Falmouth,-,2,"1,386",707,59,37,0,0,0,0,0,35,0,38,"2,262"
Falmouth,-,3,"1,150",810,69,22,3,0,0,0,0,26,0,33,"2,113"
Falmouth,-,4,"1,219",859,83,22,1,0,0,0,0,36,0,36,"2,256"
Falmouth,-,5,"1,349",886,108,33,5,0,0,0,0,53,0,42,"2,476"
Falmouth,-,6,"1,333",771,83,29,1,0,0,0,0,34,0,53,"2,304"
Falmouth,-,7,"1,094",913,81,28,2,0,0,0,0,26,0,25,"2,169"
Falmouth,-,8,"1,070",907,81,42,2,0,0,0,0,29,0,35,"2,166"
Falmouth,-,9,"1,073",799,84,30,0,0,0,0,0,27,0,33,"2,046"
Fitchburg,1,A,619,314,58,12,0,0,0,0,0,13,0,15,"1,031"
Fitchburg,1,B,677,452,68,26,0,0,0,0,0,13,0,18,"1,254"
Fitchburg,2,A,607,262,37,25,0,0,0,0,0,12,0,9,952
Fitchburg,2,B,742,609,74,16,0,0,0,0,0,19,0,30,"1,490"
Fitchburg,3,A,961,832,120,15,0,0,0,0,0,16,0,37,"1,981"
Fitchburg,3,B,772,543,74,35,0,0,0,0,0,3,0,33,"1,460"
Fitchburg,4,A,490,288,38,21,0,0,0,0,0,5,0,20,862
Fitchburg,4,B,699,276,50,22,0,0,0,0,0,9,0,26,"1,082"
Fitchburg,5,A,849,842,114,21,0,0,0,0,0,35,0,19,"1,880"
Fitchburg,5,B,619,232,41,28,0,0,0,0,0,11,0,15,946
Fitchburg,6,A,854,626,91,19,1,0,0,0,0,20,0,29,"1,640"
Fitchburg,6,B,701,311,47,19,0,0,0,0,0,6,0,17,"1,101"
Florida,-,1,191,170,17,11,0,0,0,0,0,8,0,3,400
Foxborough,-,1,"1,002",774,100,15,5,0,0,0,0,25,0,39,"1,960"
Foxborough,-,2,"1,119",831,123,12,3,0,0,0,0,33,0,47,"2,168"
Foxborough,-,3,"1,048",877,105,25,3,0,0,0,0,44,0,38,"2,140"
Foxborough,-,4,"1,031",881,131,19,0,0,0,0,0,41,0,26,"2,129"
